anchor_date,anchor_title,anchor_block,date,title_preview,block,cosine_similarity,same_block
2024-05-30,United Services Automobile Association Purchases 784 Shares of Webster Financial Co. (NYSE:WBS) - Ticker Report。United Services Automobile Association grew its position in shares of Webster Financial Co. (NYSE:WBS – Free Report) by 6.4% in…,150,2025-07-08,"Curtiss-Wright Corporation (NYSE:CW) Stock Position Raised by Mutual Advisors LLC - ETF Daily News。Mutual Advisors LLC raised its position in shares of Curtiss-Wright Corporation (NYSE:CW – Free Report) by 15.7% in the first quarter, accord…",150,0.8639489139527965,True
2024-05-30,United Services Automobile Association Purchases 784 Shares of Webster Financial Co. (NYSE:WBS) - Ticker Report。United Services Automobile Association grew its position in shares of Webster Financial Co. (NYSE:WBS – Free Report) by 6.4% in…,150,2024-02-09,"NIKE, Inc. Plans Quarterly Dividend of $0.37 (NYSE:NKE) - Markets Daily。NIKE, Inc. (NYSE:NKE – Get Free Report) declared a quarterly dividend on Thursday, February 8th, RTT News reports. Shareholders of record on Monday, March 4th will be g…",150,0.8084638631592191,True
2024-05-30,United Services Automobile Association Purchases 784 Shares of Webster Financial Co. (NYSE:WBS) - Ticker Report。United Services Automobile Association grew its position in shares of Webster Financial Co. (NYSE:WBS – Free Report) by 6.4% in…,150,2024-05-01,"Analysts Issue Forecasts for Alphabet Inc.’s Q2 2024 Earnings (NASDAQ:GOOG) - Markets Daily。Alphabet Inc. (NASDAQ:GOOG – Free Report) – Wedbush lifted their Q2 2024 EPS estimates for shares of Alphabet in a report issued on Thursday, April…",150,0.7894538439212203,True
2024-05-30,United Services Automobile Association Purchases 784 Shares of Webster Financial Co. (NYSE:WBS) - Ticker Report。United Services Automobile Association grew its position in shares of Webster Financial Co. (NYSE:WBS – Free Report) by 6.4% in…,150,2024-07-21,Ally Financial (NYSE:ALLY) Price Target Increased to $49.00 by Analysts at Royal Bank of Canada - Markets Daily。Ally Financial (NYSE:ALLY – Free Report) had its price target boosted by Royal Bank of Canada from $46.00 to $49.00 in a researc…,137,0.7857753531596378,False
2024-05-30,United Services Automobile Association Purchases 784 Shares of Webster Financial Co. (NYSE:WBS) - Ticker Report。United Services Automobile Association grew its position in shares of Webster Financial Co. (NYSE:WBS – Free Report) by 6.4% in…,150,2023-07-22,"Csenge Advisory Group Has $341,000 Holdings in Enterprise Products Partners L.P. (NYSE:EPD) - American Banking News。Csenge Advisory Group lessened its stake in Enterprise Products Partners L.P. (NYSE:EPD – Free Report) by 15.4% in the 1st q…",150,0.7844518579319201,True
2023-01-02,"Israeli missile strikes put Damascus airport out of service - The Globe and Mail。Israel’s military fired missiles toward the international airport of the capital Damascus early Monday, putting it out of service and killing two soldiers and…",156,2024-07-30,"Israel says it struck Beirut after an attack in Israeli-controlled Golan Heights。Updated July 30, 2024 at 14:56 PM ET BEIRUT, Lebanon, and TEL AVIV, Israel — A large explosion ripped through the streets of southern Beirut on Tuesday evening…",156,0.7064631107376008,True
2023-01-02,"Israeli missile strikes put Damascus airport out of service - The Globe and Mail。Israel’s military fired missiles toward the international airport of the capital Damascus early Monday, putting it out of service and killing two soldiers and…",156,2026-03-18,"Iran lashes out with attacks on Israel and Gulf neighbors as Israel hits Beirut。It alleged he “provided images and information on sensitive locations” to the Mossad. Iran, one of the world’s top executioners, long has put people to death af…",156,0.6913561021197648,True
2023-01-02,"Israeli missile strikes put Damascus airport out of service - The Globe and Mail。Israel’s military fired missiles toward the international airport of the capital Damascus early Monday, putting it out of service and killing two soldiers and…",156,2023-11-23,"Israel-Hamas conflict: Palestinian women and youths to be swapped for Israeli hostages。By Victor Caivano, Bassam Massoud and Emily Rose Gaza City: The Israeli military has unveiled what it claims is a Hamas military facility under Gaza’s la…",156,0.6574644578936673,True
2023-01-02,"Israeli missile strikes put Damascus airport out of service - The Globe and Mail。Israel’s military fired missiles toward the international airport of the capital Damascus early Monday, putting it out of service and killing two soldiers and…",156,2026-06-28,"U.S. and Iran exchange strikes, underscoring the fragility of the ceasefire。Iran's Revolutionary Guard claimed responsibility for launching drone and missile attacks on Bahrain and Kuwait on Sunday, according to a statement issued via state…",90,0.6539471798743465,False
2023-01-02,"Israeli missile strikes put Damascus airport out of service - The Globe and Mail。Israel’s military fired missiles toward the international airport of the capital Damascus early Monday, putting it out of service and killing two soldiers and…",156,2025-01-01,"Palestinians say 17 Gaza civilians killed in New Year's airstrikes by Israel - UPI.com。Palestinians attend the funeral of Kholoud Abu Dahr, 27, and her 8-year-old son Adam near Al Aqsa Martyrs Hospital in Deir Al Balah, after they died duri…",156,0.6488299175847843,True
